date,contract_preamble,expiry_date,daily_volume,mean,median,mode,skewness,kurtosis,variance
2024-10-07,U3-24OCT,2024-11-01,20,4.121428571428571,4.1,4.3,0.1653543307086608,-1.3590313619325278,0.02250000000000003
2024-10-08,U3-24OCT,2024-11-01,117,4.121428571428571,4.1,4.3,0.1653543307086608,-1.3590313619325278,0.02250000000000003
2024-10-09,U3-24OCT,2024-11-01,132,4.123469387755102,4.1499999999999995,4.3,0.1782945736434121,-1.3582605805616013,0.02261245314452314
2024-10-10,U3-24OCT,2024-11-01,31,4.123469387755102,4.1499999999999995,4.3,0.1782945736434121,-1.3582605805616013,0.02261245314452314
2024-10-11,U3-24OCT,2024-11-01,0,4.123469387755102,4.1499999999999995,4.3,0.1782945736434121,-1.3582605805616013,0.02261245314452314
2024-10-12,U3-24OCT,2024-11-01,0,4.123469387755102,4.1499999999999995,4.3,0.1782945736434121,-1.3582605805616013,0.02261245314452314
2024-10-13,U3-24OCT,2024-11-01,0,4.123469387755102,4.1499999999999995,4.3,0.1782945736434121,-1.3582605805616013,0.02261245314452314
2024-10-14,U3-24OCT,2024-11-01,123,4.13469387755102,4.1499999999999995,4.3,0.2881355932203369,-1.248336724440687,0.01859225322782176
2024-10-15,U3-24OCT,2024-11-01,8,4.126530612244898,4.1,4.3,0.23636363636364108,-1.2344816367918112,0.01827571845064559
2024-10-16,U3-24OCT,2024-11-01,370,4.138775510204081,4.199999999999999,4.3,-0.5357142857142805,-1.0917853129893043,0.017680133277800936
